,CustomerId,TransactionStartTime,Value,Amount,IssuedDateLoan,AmountLoan,PaidOnDate,IsFinalPayBack,DueDate,PayBackId,IsThirdPartyConfirmed,IsDefaulted,ProductCategory_airtime,ProductCategory_data_bundles,ProductCategory_financial_services,ProductCategory_movies,ProductCategory_retail,ProductCategory_tv,ProductCategory_utility_bill
143,CustomerId_258,11/24/2018 16:06,30000.0,-30000.0,11/24/2018 16:06,20000.0,12/14/2018 8:37,0.0,12/24/2018 16:05,PayBackId_1515,1.0,0.0,1,0,0,0,0,0,0
144,CustomerId_258,11/24/2018 16:06,30000.0,-30000.0,11/24/2018 16:06,14650.0,12/18/2018 11:49,1.0,12/24/2018 16:05,PayBackId_1929,1.0,0.0,1,0,0,0,0,0,0
145,CustomerId_114,11/24/2018 21:20,4000.0,-4000.0,11/24/2018 21:20,4160.0,11/25/2018 15:21,1.0,12/24/2018 21:20,PayBackId_411,1.0,0.0,1,0,0,0,0,0,0
147,CustomerId_390,11/25/2018 5:51,1000.0,-1000.0,11/25/2018 5:51,1040.0,11/25/2018 16:36,1.0,12/25/2018 5:51,PayBackId_1268,1.0,0.0,1,0,0,0,0,0,0
148,CustomerId_28,11/25/2018 16:25,2000.0,-2000.0,11/25/2018 16:25,2260.0,12/14/2018 16:17,1.0,12/25/2018 16:25,PayBackId_1464,1.0,0.0,1,0,0,0,0,0,0
149,CustomerId_310,11/26/2018 6:41,500.0,-500.0,11/26/2018 6:41,523.0,11/28/2018 5:52,1.0,12/26/2018 6:41,PayBackId_2035,1.0,0.0,0,1,0,0,0,0,0
150,CustomerId_390,11/26/2018 6:49,1000.0,-1000.0,11/26/2018 6:49,512.0,11/30/2018 5:21,0.0,12/26/2018 6:49,PayBackId_38,1.0,0.0,1,0,0,0,0,0,0
151,CustomerId_390,11/26/2018 6:49,1000.0,-1000.0,11/26/2018 6:49,583.0,12/7/2018 8:16,1.0,12/26/2018 6:49,PayBackId_685,1.0,0.0,1,0,0,0,0,0,0
152,CustomerId_390,11/26/2018 8:56,1000.0,-1000.0,11/26/2018 8:56,1060.0,11/30/2018 15:01,1.0,12/26/2018 8:56,PayBackId_360,1.0,0.0,1,0,0,0,0,0,0
153,CustomerId_233,11/26/2018 9:55,1000.0,-1000.0,11/26/2018 9:55,1145.0,12/17/2018 15:18,1.0,12/26/2018 9:55,PayBackId_1624,1.0,0.0,1,0,0,0,0,0,0
154,CustomerId_357,11/26/2018 10:21,2000.0,-2000.0,11/26/2018 10:21,2090.0,11/27/2018 20:49,1.0,12/26/2018 10:21,PayBackId_1648,1.0,0.0,1,0,0,0,0,0,0
155,CustomerId_379,11/26/2018 10:37,1500.0,-1500.0,11/26/2018 10:37,2228.0,6/9/2019 12:51,1.0,12/26/2018 10:37,PayBackId_529,1.0,0.0,1,0,0,0,0,0,0
156,CustomerId_501,11/26/2018 11:04,8000.0,-8000.0,11/26/2018 11:04,1000.0,12/9/2018 8:27,0.0,12/26/2018 11:04,PayBackId_939,1.0,0.0,1,0,0,0,0,0,0
157,CustomerId_501,11/26/2018 11:04,8000.0,-8000.0,11/26/2018 11:04,8880.0,1/5/2019 7:25,1.0,12/26/2018 11:04,PayBackId_639,1.0,0.0,1,0,0,0,0,0,0
159,CustomerId_120,11/26/2018 20:23,2000.0,-2000.0,11/26/2018 20:23,2180.0,12/7/2018 17:36,1.0,12/26/2018 20:23,PayBackId_1116,1.0,0.0,1,0,0,0,0,0,0
160,CustomerId_261,11/27/2018 11:07,5750.0,-5000.0,11/27/2018 11:07,5980.0,11/28/2018 10:40,1.0,12/27/2018 11:07,PayBackId_1457,1.0,0.0,0,0,0,0,0,0,1
161,CustomerId_261,11/27/2018 11:08,500.0,-500.0,11/27/2018 11:08,520.0,11/27/2018 13:38,1.0,12/27/2018 11:08,PayBackId_1689,1.0,0.0,1,0,0,0,0,0,0
162,CustomerId_390,11/27/2018 11:58,1000.0,-1000.0,11/27/2018 11:58,1055.0,11/30/2018 15:03,1.0,12/27/2018 11:58,PayBackId_1160,1.0,0.0,1,0,0,0,0,0,0
163,CustomerId_501,11/27/2018 13:45,5750.0,-5000.0,11/27/2018 13:45,4000.0,12/9/2018 8:24,0.0,12/27/2018 13:45,PayBackId_67,1.0,0.0,0,0,0,0,0,0,1
164,CustomerId_501,11/27/2018 13:45,5750.0,-5000.0,11/27/2018 13:45,3073.0,1/5/2019 7:27,1.0,12/27/2018 13:45,PayBackId_115,1.0,0.0,0,0,0,0,0,0,1
165,CustomerId_425,11/27/2018 14:17,1000.0,-1000.0,11/27/2018 14:17,1040.0,11/28/2018 9:06,1.0,12/27/2018 14:17,PayBackId_435,1.0,0.0,1,0,0,0,0,0,0
166,CustomerId_419,11/27/2018 17:01,5000.0,-5000.0,11/27/2018 17:01,5250.0,11/30/2018 15:10,1.0,12/27/2018 17:01,PayBackId_1432,1.0,0.0,1,0,0,0,0,0,0
167,CustomerId_425,11/27/2018 17:05,9000.0,-9000.0,11/27/2018 17:05,2852.0,11/30/2018 6:24,0.0,12/27/2018 17:05,PayBackId_415,1.0,0.0,0,0,0,0,0,1,0
168,CustomerId_425,11/27/2018 17:05,9000.0,-9000.0,11/27/2018 17:05,5000.0,12/9/2018 19:28,0.0,12/27/2018 17:05,PayBackId_1961,1.0,0.0,0,0,0,0,0,1,0
169,CustomerId_425,11/27/2018 17:05,9000.0,-9000.0,11/27/2018 17:05,2228.0,12/14/2018 9:37,1.0,12/27/2018 17:05,PayBackId_1257,1.0,0.0,0,0,0,0,0,1,0
170,CustomerId_27,11/27/2018 18:12,1500.0,-1500.0,11/27/2018 18:12,1575.0,11/30/2018 18:10,1.0,12/27/2018 18:12,PayBackId_1536,1.0,0.0,1,0,0,0,0,0,0
171,CustomerId_27,11/27/2018 18:14,2000.0,-2000.0,11/27/2018 18:14,2090.0,11/29/2018 14:11,1.0,12/27/2018 18:14,PayBackId_1623,1.0,0.0,1,0,0,0,0,0,0
172,CustomerId_57,11/27/2018 18:50,14000.0,-14000.0,11/27/2018 18:50,5000.0,12/16/2018 18:43,0.0,12/27/2018 18:50,PayBackId_112,1.0,0.0,1,0,0,0,0,0,0
173,CustomerId_57,11/27/2018 18:50,14000.0,-14000.0,11/27/2018 18:50,5000.0,12/21/2018 8:36,0.0,12/27/2018 18:50,PayBackId_1310,1.0,0.0,1,0,0,0,0,0,0
174,CustomerId_57,11/27/2018 18:50,14000.0,-14000.0,11/27/2018 18:50,6380.0,12/24/2018 9:10,1.0,12/27/2018 18:50,PayBackId_309,1.0,0.0,1,0,0,0,0,0,0
175,CustomerId_27,11/27/2018 19:11,11000.0,-11000.0,11/27/2018 19:11,5000.0,1/18/2019 8:40,0.0,12/27/2018 19:11,PayBackId_796,1.0,0.0,0,0,0,0,0,1,0
176,CustomerId_27,11/27/2018 19:11,11000.0,-11000.0,11/27/2018 19:11,5000.0,1/18/2019 8:41,0.0,12/27/2018 19:11,PayBackId_506,1.0,0.0,0,0,0,0,0,1,0
177,CustomerId_27,11/27/2018 19:11,11000.0,-11000.0,11/27/2018 19:11,5015.0,2/1/2019 13:52,1.0,12/27/2018 19:11,PayBackId_433,1.0,0.0,0,0,0,0,0,1,0
178,CustomerId_390,11/27/2018 19:41,500.0,-500.0,11/27/2018 19:41,543.0,12/7/2018 8:17,1.0,12/27/2018 19:41,PayBackId_462,1.0,0.0,1,0,0,0,0,0,0
179,CustomerId_193,11/28/2018 6:16,2000.0,-2000.0,11/28/2018 6:16,2090.0,11/30/2018 9:38,0.0,12/28/2018 6:16,PayBackId_1236,1.0,0.0,1,0,0,0,0,0,0
180,CustomerId_193,11/28/2018 6:16,2000.0,-2000.0,11/28/2018 6:16,60.0,12/5/2018 11:08,1.0,12/28/2018 6:16,PayBackId_606,1.0,0.0,1,0,0,0,0,0,0
181,CustomerId_425,11/28/2018 6:35,900.0,-900.0,11/28/2018 6:35,936.0,11/28/2018 9:05,1.0,12/28/2018 6:35,PayBackId_789,1.0,0.0,0,0,0,0,0,1,0
183,CustomerId_390,11/28/2018 11:22,600.0,-600.0,11/28/2018 11:22,630.0,11/30/2018 15:30,1.0,12/28/2018 11:22,PayBackId_1643,1.0,0.0,1,0,0,0,0,0,0
184,CustomerId_390,11/28/2018 11:39,1000.0,-1000.0,11/28/2018 11:39,1080.0,12/7/2018 8:18,1.0,12/28/2018 11:39,PayBackId_1214,1.0,0.0,1,0,0,0,0,0,0
185,CustomerId_390,11/28/2018 11:44,1000.0,-1000.0,11/28/2018 11:44,1080.0,12/7/2018 8:20,1.0,12/28/2018 11:44,PayBackId_285,1.0,0.0,1,0,0,0,0,0,0
186,CustomerId_390,11/28/2018 11:46,1000.0,-1000.0,11/28/2018 11:46,1080.0,12/7/2018 8:21,1.0,12/28/2018 11:46,PayBackId_350,1.0,0.0,1,0,0,0,0,0,0
187,CustomerId_390,11/28/2018 11:50,500.0,-500.0,11/28/2018 11:50,540.0,12/7/2018 8:27,1.0,12/28/2018 11:50,PayBackId_1684,1.0,0.0,1,0,0,0,0,0,0
189,CustomerId_357,11/28/2018 15:57,5000.0,-5000.0,11/28/2018 15:57,6300.0,1/11/2019 21:29,1.0,12/28/2018 15:57,PayBackId_290,1.0,0.0,1,0,0,0,0,0,0
190,CustomerId_255,11/28/2018 17:26,5000.0,-5000.0,11/28/2018 17:26,5350.0,12/5/2018 14:28,1.0,12/28/2018 17:26,PayBackId_337,1.0,0.0,1,0,0,0,0,0,0
191,CustomerId_255,11/28/2018 17:27,5000.0,-5000.0,11/28/2018 17:27,5350.0,12/5/2018 14:18,1.0,12/28/2018 17:27,PayBackId_1346,1.0,0.0,1,0,0,0,0,0,0
192,CustomerId_419,11/28/2018 17:41,2000.0,-2000.0,11/28/2018 17:41,2090.0,11/30/2018 15:12,1.0,12/28/2018 17:41,PayBackId_571,1.0,0.0,1,0,0,0,0,0,0
195,CustomerId_390,11/29/2018 10:30,1000.0,-1000.0,11/29/2018 10:30,1075.0,12/7/2018 8:30,1.0,12/29/2018 10:29,PayBackId_348,1.0,0.0,1,0,0,0,0,0,0
196,CustomerId_71,11/29/2018 14:50,2000.0,-2000.0,11/29/2018 14:50,2510.0,1/11/2019 20:01,1.0,12/29/2018 14:50,PayBackId_1976,1.0,0.0,1,0,0,0,0,0,0
197,CustomerId_390,11/29/2018 15:36,500.0,-500.0,11/29/2018 15:36,538.0,12/7/2018 8:31,1.0,12/29/2018 15:36,PayBackId_933,1.0,0.0,1,0,0,0,0,0,0
202,CustomerId_429,11/30/2018 6:56,3000.0,-3000.0,11/30/2018 6:56,3120.0,12/1/2018 14:41,0.0,12/30/2018 6:56,PayBackId_1192,1.0,1.0,1,0,0,0,0,0,0
203,CustomerId_379,11/30/2018 6:58,1000.0,-1000.0,11/30/2018 6:58,1000.0,6/9/2019 12:54,0.0,12/30/2018 6:58,PayBackId_1,1.0,0.0,1,0,0,0,0,0,0
204,CustomerId_379,11/30/2018 6:58,1000.0,-1000.0,11/30/2018 6:58,485.0,6/9/2019 13:08,1.0,12/30/2018 6:58,PayBackId_1599,1.0,0.0,1,0,0,0,0,0,0
205,CustomerId_318,11/30/2018 7:48,1500.0,-1500.0,11/30/2018 7:48,1643.0,12/12/2018 6:04,1.0,12/30/2018 7:48,PayBackId_192,1.0,0.0,1,0,0,0,0,0,0
206,CustomerId_318,11/30/2018 7:58,5000.0,-5000.0,11/30/2018 7:58,5475.0,12/12/2018 6:04,1.0,12/30/2018 7:58,PayBackId_1796,1.0,0.0,0,1,0,0,0,0,0
